id,body,name,strain_id,lab_tested,license_type,grams_per_eighth,listing_id,listing_type,vendor_id,vendor_name,vendor_slug,prices.gram,prices.two_grams,prices.eighth,prices.quarter,prices.half_ounce,prices.ounce,prices.half_gram,prices.unit,image_url,thumb_image_url,category_id,category_name,tags,slug,published,test_result_expires,test_result_expires_in,test_result_expired,latest_test_result_image_url,url,listing_name,listing_url,approved_endorsement,sort_priority,locations_found_at,listing_wmid
25671925,"<p>AROMATIC & FLAVOR PROFILE: With a prevailing blended scent of vanilla, berry, cookies and cream the smell and taste is similar to the essences of vanilla creme fraiche, blackberry swirl and may have a touch of pungent axle grease.</p> <p>CULTIVAR FUN FACT: The potent and reinvigorating effects experienced are commonly attributed to the reported consistency of Magnum Opus 11th Fen, Royal Kush and Cherry Pie Kush.</p>",Vanilla Berry Pie,None,None,medical,3.5 grams,51702,Dispensary,7989,rØØ7,roo7,16.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,https://images.weedmaps.com/products/000/107/779/avatar/large/1564520790-Vanilla-Berry-Pie-002-269x300.jpg,https://images.weedmaps.com/products/000/107/779/avatar/medium_oriented/1564520790-Vanilla-Berry-Pie-002-269x300.jpg,1,Indica,None,vanilla-berry-pie-18e842e0-dacf-4090-aa8a-d448b284b277,True,None,None,None,None,/dispensaries/mission-il/menu/vanilla-berry-pie-18e842e0-dacf-4090-aa8a-d448b284b277,Mission South Shore,/dispensaries/mission-il,True,10,['/dispensaries/mission-il'],967594772
25671924,<p>AROMATIC & FLAVOR PROFILEIsland Sweet Skunk/OG. Crazy blend dominated by Island Sweet skunk with a funky kush anchor.</p>,Sunburn,None,None,medical,3.5 grams,51702,Dispensary,7989,rØØ7,roo7,16.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,https://images.weedmaps.com/products/000/107/776/avatar/large/1564520626-Sunburn-001-300x240-300x176.jpg,https://images.weedmaps.com/products/000/107/776/avatar/medium_oriented/1564520626-Sunburn-001-300x240-300x176.jpg,1,Indica,None,sunburn-6bd9a651-6f8d-4c4d-b833-e0ecbe7f899b,True,None,None,None,None,/dispensaries/mission-il/menu/sunburn-6bd9a651-6f8d-4c4d-b833-e0ecbe7f899b,Mission South Shore,/dispensaries/mission-il,True,10,['/dispensaries/mission-il'],967594772
25837406,,707 Headband,659,None,medical,3.5 grams,51702,Dispensary,None,None,None,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,https://images.weedmaps.com/pictures/users/004/223/722/large/54564673_5.PNG,https://images.weedmaps.com/pictures/users/004/223/722/medium_oriented/54564673_5.PNG,3,Hybrid,None,707-headband,True,None,None,None,None,/dispensaries/mission-il/menu/707-headband,Mission South Shore,/dispensaries/mission-il,False,0,['/dispensaries/mission-il'],967594772
25837405,,Jack Acid,None,None,medical,3.5 grams,51702,Dispensary,None,None,None,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,https://images.weedmaps.com/pictures/users/004/223/722/large/54564653_4.PNG,https://images.weedmaps.com/pictures/users/004/223/722/medium_oriented/54564653_4.PNG,3,Hybrid,None,jack-acid,True,None,None,None,None,/dispensaries/mission-il/menu/jack-acid,Mission South Shore,/dispensaries/mission-il,False,0,['/dispensaries/mission-il'],967594772
26435653,,Ace's High,None,None,medical,3.5 grams,51702,Dispensary,None,None,None,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://images.weedmaps.com/large/image_missing.jpg,https://images.weedmaps.com/medium_oriented/image_missing.jpg,3,Hybrid,None,ace-s-high,True,None,None,None,None,/dispensaries/mission-il/menu/ace-s-high,Mission South Shore,/dispensaries/mission-il,False,0,['/dispensaries/mission-il'],967594772
26461202,,The Great Fire,None,None,medical,3.5 grams,51702,Dispensary,None,None,None,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://images.weedmaps.com/large/image_missing.jpg,https://images.weedmaps.com/medium_oriented/image_missing.jpg,3,Hybrid,None,the-great-fire-7c6f3bb0-e616-417b-b2fe-403ddb072669,True,None,None,None,None,/dispensaries/mission-il/menu/the-great-fire-7c6f3bb0-e616-417b-b2fe-403ddb072669,Mission South Shore,/dispensaries/mission-il,False,0,['/dispensaries/mission-il'],967594772
26012537,,707 Headband,659,None,medical,3.5 grams,51702,Dispensary,None,None,None,18.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,https://images.weedmaps.com/pictures/users/004/223/722/large/54589010_86b4cfa14532c345641c277a9768e273.png,https://images.weedmaps.com/pictures/users/004/223/722/medium_oriented/54589010_86b4cfa14532c345641c277a9768e273.png,3,Hybrid,None,707-headband-ce3460a5-f5a6-442f-b15c-2d2d76a3acef,True,None,None,None,None,/dispensaries/mission-il/menu/707-headband-ce3460a5-f5a6-442f-b15c-2d2d76a3acef,Mission South Shore,/dispensaries/mission-il,False,0,['/dispensaries/mission-il'],967594772
26445798,,Jack Acid,None,None,medical,3.5 grams,51702,Dispensary,None,None,None,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,https://images.weedmaps.com/large/image_missing.jpg,https://images.weedmaps.com/medium_oriented/image_missing.jpg,3,Hybrid,None,jack-acid-eaec0d57-c785-4f73-9d32-58169218e097,True,None,None,None,None,/dispensaries/mission-il/menu/jack-acid-eaec0d57-c785-4f73-9d32-58169218e097,Mission South Shore,/dispensaries/mission-il,False,0,['/dispensaries/mission-il'],967594772
26445795,,Ace's High,None,None,medical,3.5 grams,51702,Dispensary,None,None,None,18.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,https://images.weedmaps.com/large/image_missing.jpg,https://images.weedmaps.com/medium_oriented/image_missing.jpg,3,Hybrid,None,ace-s-high-222fde51-8192-4d2b-ab7b-b730705ecff8,True,None,None,None,None,/dispensaries/mission-il/menu/ace-s-high-222fde51-8192-4d2b-ab7b-b730705ecff8,Mission South Shore,/dispensaries/mission-il,False,0,['/dispensaries/mission-il'],967594772
25671927,,Lavender Jones,136,None,medical,3.5 grams,51702,Dispensary,None,None,None,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,https://images.weedmaps.com/pictures/users/004/223/722/large/48964891_43736794020_a16e39de56_b.jpg,https://images.weedmaps.com/pictures/users/004/223/722/medium_oriented/48964891_43736794020_a16e39de56_b.jpg,3,Hybrid,None,lavender-jones-dfbb6794-48a1-468e-abd9-f8e8a0b8ae48,True,None,None,None,None,/dispensaries/mission-il/menu/lavender-jones-dfbb6794-48a1-468e-abd9-f8e8a0b8ae48,Mission South Shore,/dispensaries/mission-il,False,0,['/dispensaries/mission-il'],967594772
